### columns from Head ###
     Cluster     Annotation     gene     p_val     avg_diff     pct.1     pct.2

### data from body ###

     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Sec11c     4.4459e-87     0.9368     0.635     0.314
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Prr5l     1.3983e-44     0.9367     0.213     0.033
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Il33     4.6731e-35     0.9361     0.236     0.063
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Map1a     1.4499e-36     0.9345     0.19     0.034
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Ss18l2     2.0159e-48     0.9333     0.39     0.152
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gm42644     3.3747e-42     0.9318     0.221     0.041
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Frmd8     4.9747e-43     0.9285     0.242     0.051
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Ttll7     2.0236e-40     0.9246     0.227     0.047
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Klhl2     4.2851e-40     0.9213     0.208     0.041
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Wscd1     1.6438e-50     0.9095     0.377     0.125
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gstp1     9.694e-41     0.9088     0.343     0.126
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Phlda3     3.2703e-39     0.9024     0.232     0.053
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Elavl3     2.8046e-52     0.9019     0.315     0.078
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Spock3     1.8055e-39     0.8987     0.237     0.054
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Fgfr2     6.8498e-41     0.8949     0.278     0.079
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     mt-Tl1     2.8257e-33     0.892     0.286     0.123
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Tmeff1     1.8883e-38     0.8883     0.224     0.05
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Rhog     2.778e-57     0.8831     0.478     0.199
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Cpox     1.144e-37     0.8826     0.262     0.074
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gna12     9.0584e-38     0.8814     0.266     0.078
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Shisa4     4.4977e-56     0.8797     0.456     0.179
